t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1561982400,1105.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.8
1561986000,1102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.5
1561989600,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102
1561993200,1100.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.72
1561996800,1102,-0.4061785442211203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102
1562000400,1099.8741,-0.33654871444878154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.8741
1562004000,1104.3,-0.25070100980337884,,,,,,,,,,,,,,,,,,,,,0.9984123202353532,,,,,,,,,,,,,,,,,,,,,1104.3
1562007600,1095.78,-0.15042321380155954,,,,,,,,,,,,,,,,,,,,,0.9984140366843177,,,,,,,,,,,,,,,,,,,,,1095.78
1562011200,1100,-0.037774000006493225,-0.9595176848874625,,,,,,,,,,,,,,,,,,,,0.994667363385586,,,,,,,,,,,,,,,,,,,,,1100
1562014800,1094.65,0.08520222467586791,,,,,,,,,,,,,,,,,,,,,-0.40950301948723933,,,,,,,,,,,,,,,,,,,,,1094.65
1562018400,1097,0.21658931019783267,-0.8450213095699941,,,,,,,,,,,,,,,,,,,,-0.6584707259305688,,,,,,,,,,,,,,,,,,,,,1097
