t,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,SMA (0)-1,SMA (1)-1,SMA (2)-1,SMA (3)-1,SMA (4)-1,SMA (5)-1,SMA (6)-1,SMA (7)-1,SMA (8)-1,SMA (9)-1,SMA (10)-1,SMA (11)-1,SMA (12)-1,SMA (13)-1,SMA (14)-1,SMA (15)-1,SMA (16)-1,SMA (17)-1,SMA (18)-1,SMA (19)-1,month,day,DoW,hour,o
1561986000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.375,296.68
1561989600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.4166666666666667,296.16
1561993200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.4583333333333333,295.74
1561996800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.5,295.435
1562000400,-0.06818395842691416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.5416666666666666,294.69
1562004000,-0.046863464591581305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.5833333333333334,294.88
1562007600,-0.02215605187075198,,,,,,,,,,,,,,,,,,,,,0.9947620733646931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.625,294.39
1562011200,0.004566838318964983,,,,,,,,,,,,,,,,,,,,,0.9924217758866518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.03225806451612903,0.14285714285714285,0.6666666666666666,295.6
1562072400,0.03169772321371056,0.721784776902803,,,,,,,,,,,,,,,,,,,,0.9924295103295122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.06451612903225806,0.2857142857142857,0.375,295.61
1562076000,0.05756155475228297,1,,,,,,,,,,,,,,,,,,,,-0.34596211365903373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.06451612903225806,0.2857142857142857,0.4166666666666667,295.3
1562079600,0.08063201868412762,1,,,,,,,,,,,,,,,,,,,,0.14478114478112114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.06451612903225806,0.2857142857142857,0.4583333333333333,295.87
