t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1561982400,226.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7
1561986000,229.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4
1561989600,230.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.23
1561993200,230.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.18
1561996800,229.4,-0.08218792180502987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.4
1562000400,230.85,-0.0940172875248777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.85
1562004000,231.9,-0.10469194327163223,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,231.9
1562007600,228.95,-0.11356713318735956,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,228.95
1562011200,229.075,-0.12082801994412762,-0.9017094017094912,,,,,,,,,,,,,,,,,,,,0.9987005486572336,,,,,,,,,,,,,,,,,,,,,229.075
1562014800,229.3475,-0.1273790541343658,,,,,,,,,,,,,,,,,,,,,0.025191675794061785,,,,,,,,,,,,,,,,,,,,,229.3475
1562018400,228.3497,-0.13448012835175405,,,,,,,,,,,,,,,,,,,,,-0.3424657534246731,,,,,,,,,,,,,,,,,,,,,228.3497
1562022000,226.64,-0.14314642496833585,,,,,,,,,,,,,,,,,,,,,-0.5153427822705552,0.9845803995195601,,,,,,,,,,,,,,,,,,,,226.64
1562025600,227.17,-0.1534236542526628,,,,,,,,,,,,,,,,,,,,,,0.9776765279526278,,,,,,,,,,,,,,,,,,,,227.17
1562029200,227.88,-0.16375368678126279,,,,,,,,,,,,,,,,,,,,,,0.9715432941251196,,,,,,,,,,,,,,,,,,,,227.88
1562032800,227.7999,-0.17068924202379776,-0.5435441344299903,-0.7782217973231451,,,,,,,,,,,,,,,,,,,,-0.6343750000000028,,,,,,,,,,,,,,,,,,,,227.7999
1562036400,227.8,-0.1691495375773968,0.3522967663947525,-0.6577629063097412,,,,,,,,,,,,,,,,,,,-0.6609669121945575,-0.49857807004348953,,,,,,,,,,,,,,,,,,,,227.8
1562068800,228,-0.15324159000229542,1,-0.6184015984015924,,,,,,,,,,,,,,,,,,,-0.47908208553425025,-0.4975053507899031,0.9703009611443725,,,,,,,,,,,,,,,,,,,228
1562072400,228.15,-0.11747477152914598,1,-0.45112325440192536,,,,,,,,,,,,,,,,,,,-0.16179149020208383,-0.6912020307358955,0.9703060197447935,,,,,,,,,,,,,,,,,,,228.15
1562076000,226.9,-0.05805858953266352,-0.6362148895552364,-0.5213374395072099,-0.7399617590821966,,,,,,,,,,,,,,,,,,0.6558596182730867,-0.6316218418907835,0.970320768368635,,,,,,,,,,,,,,,,,,,226.9
1562079600,227.2,0.026050000959799036,,-0.7796229979142907,-0.8929254302103259,,,,,,,,,,,,,,,,,,0.43037974683547997,-0.6033347959631297,-0.42355889724310314,,,,,,,,,,,,,,,,,,,227.2
